"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Oberdorf (BL)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1530,671,43.9,658,379,279,57.6
"......Reigoldswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1120,378,33.8,370,216,154,58.4
"......Titterten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",326,165,50.6,162,98,64,60.5
"......Waldenburg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",727,223,30.7,220,122,98,55.5
"......BL-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Schaffhausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",49926,31652,63.4,29628,16973,12655,57.3
">> Bezirk Oberklettgau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2909,1876,64.5,1763,941,822,53.4
"......Gächlingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",604,408,67.5,374,200,174,53.5
"......Löhningen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",940,639,68.0,606,319,287,52.6
"......Neunkirch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1365,829,60.7,783,422,361,53.9
">> Bezirk Reiat","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5527,3810,68.9,3572,1896,1676,53.1
"......Büttenhardt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",257,172,66.9,155,71,84,45.8
"......Dörflingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",652,433,66.4,414,230,184,55.6
"......Lohn (SH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",522,361,69.2,332,167,165,50.3
"......Stetten (SH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",774,542,70.0,515,225,290,43.7
"......Thayngen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3322,2302,69.3,2156,1203,953,55.8
">> Bezirk Schaffhausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",32339,20392,63.1,18993,11298,7695,59.5
"......Bargen (SH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",181,124,68.5,118,73,45,61.9
"......Beringen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2682,1792,66.8,1685,889,796,52.8
"......Buchberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",617,422,68.4,401,197,204,49.1
"......Merishausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",537,395,73.6,377,170,207,45.1
"......Neuhausen am Rheinfall","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5326,3168,59.5,2944,1777,1167,60.4
"......Rüdlingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",548,369,67.3,360,166,194,46.1
"......Schaffhausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",22448,14122,62.9,13108,8026,5082,61.2
">> Bezirk Schleitheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2235,1316,58.9,1238,619,619,50.0
"......Beggingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",392,245,62.5,226,95,131,42.0
"......Schleitheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1240,750,60.5,714,365,349,51.1
"......Siblingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",603,321,53.2,298,159,139,53.4
">> Bezirk Stein","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3543,2177,61.4,2074,1155,919,55.7
"......Buch (SH)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",202,113,55.9,108,67,41,62.0
"......Hemishofen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",305,210,68.9,198,87,111,43.9
"......Ramsen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",854,465,54.4,450,241,209,53.6
"......Stein am Rhein","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2182,1389,63.7,1318,760,558,57.7
">> Bezirk Unterklettgau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3373,2081,61.7,1988,1064,924,53.5
"......Hallau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1436,890,62.0,853,452,401,53.0
"......Oberhallau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",341,218,63.9,211,100,111,47.4
"......Trasadingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",402,240,59.7,233,145,88,62.2
"......Wilchingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1194,733,61.4,691,367,324,53.1
"......SH-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Appenzell Ausserrhoden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",37720,16589,44.0,16449,9207,7242,56.0
">> Bezirk Hinterland","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",16378,6886,42.0,6826,3644,3182,53.4
"......Herisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10333,4096,39.6,4067,2167,1900,53.3
"......Hundwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",705,285,40.4,282,147,135,52.1
"......Schönengrund","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",369,180,48.8,178,79,99,44.4
"......Schwellbrunn","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1102,446,40.5,442,245,197,55.4
"......Stein (AR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1051,498,47.4,493,278,215,56.4
"......Urnäsch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1618,767,47.4,759,396,363,52.2
"......Waldstatt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1200,614,51.2,605,332,273,54.9
">> Bezirk Mittelland","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11994,5617,46.8,5566,3114,2452,55.9
"......Bühler","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1002,493,49.2,487,283,204,58.1
"......Gais","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2235,1124,50.3,1110,681,429,61.4
"......Speicher","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3043,1520,50.0,1504,823,681,54.7
"......Teufen (AR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4413,1798,40.7,1789,929,860,51.9
"......Trogen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1301,682,52.4,676,398,278,58.9
">> Bezirk Vorderland","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9348,4086,43.7,4057,2449,1608,60.4
"......Grub (AR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",742,320,43.1,318,198,120,62.3
"......Heiden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2677,1188,44.4,1182,723,459,61.2
"......Lutzenberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",890,379,42.6,376,212,164,56.4
"......Rehetobel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1273,607,47.7,604,371,233,61.4
"......Reute (AR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",502,231,46.0,228,134,94,58.8
"......Wald (AR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",631,253,40.1,251,153,98,61.0
"......Walzenhausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1414,612,43.3,605,375,230,62.0
"......Wolfhalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1219,496,40.7,493,283,210,57.4
"......AR-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Appenzell Innerrhoden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11402,4174,36.6,4062,1901,2161,46.8
">> Kanton Appenzell Innerrhoden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11123,4091,36.8,3979,1865,2114,46.9
"......Appenzell","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3854,1411,36.6,1362,646,716,47.4
"......Gonten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1109,371,33.5,369,181,188,49.1
"......Rüte","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2440,906,37.1,879,375,504,42.7
"......Schlatt-Haslen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",880,291,33.1,288,134,154,46.5
"......Schwende","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1437,490,34.1,474,225,249,47.5
"......Oberegg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1403,622,44.3,607,304,303,50.1
"......AI-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",279,83,29.7,83,36,47,43.4
"- St. Gallen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",311973,141833,45.5,140147,72404,67743,51.7
">> Wahlkreis St. Gallen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",75328,36255,48.1,35588,19829,15759,55.7
"......Häggenschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",837,486,58.1,482,231,251,47.9
"......Muolen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",820,390,47.6,387,162,225,41.9
"......St. Gallen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",44912,21927,48.8,21418,12756,8662,59.6
"......Wittenbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5995,2727,45.5,2694,1433,1261,53.2
"......Eggersriet","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1593,778,48.8,770,408,362,53.0
"......Andwil (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1285,646,50.3,638,275,363,43.1
"......Gaiserwald","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5589,2851,51.0,2829,1377,1452,48.7
"......Gossau (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",11954,5294,44.3,5232,2640,2592,50.5
"......Waldkirch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2343,1156,49.3,1138,547,591,48.1
">> Wahlkreis Rorschach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25175,12049,47.9,11930,6312,5618,52.9
"......Berg (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",606,325,53.6,325,170,155,52.3
"......Goldach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5880,2758,46.9,2733,1476,1257,54.0
"......Mörschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2505,1456,58.1,1438,648,790,45.1
"......Rorschach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4167,1654,39.7,1643,987,656,60.1
"......Rorschacherberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4276,2058,48.1,2036,1106,930,54.3
"......Steinach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2125,980,46.1,962,511,451,53.1
"......Tübach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",885,546,61.7,536,261,275,48.7
"......Untereggen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",732,342,46.7,342,191,151,55.8
"......Thal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3999,1930,48.3,1915,962,953,50.2
">> Wahlkreis Rheintal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",40624,17572,43.3,17431,8838,8593,50.7
"......Au (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3802,1561,41.1,1557,792,765,50.9
"......Balgach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2800,1327,47.4,1322,643,679,48.6
"......Berneck","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2473,1231,49.8,1221,559,662,45.8
"......Diepoldsau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3527,1519,43.1,1502,723,779,48.1
"......Rheineck","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1786,761,42.6,757,430,327,56.8
"......St. Margrethen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2594,1177,45.4,1168,574,594,49.1
"......Widnau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5131,2100,40.9,2079,1027,1052,49.4
"......Altstätten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6822,2891,42.4,2857,1490,1367,52.2
"......Eichberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",951,394,41.4,392,202,190,51.5
"......Marbach (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1310,634,48.4,631,330,301,52.3
"......Oberriet (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5611,2365,42.1,2343,1199,1144,51.2
"......Rebstein","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2466,1020,41.4,1013,553,460,54.6
"......Rüthi (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1351,592,43.8,589,316,273,53.7
">> Wahlkreis Werdenberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",21337,9657,45.3,9569,4991,4578,52.2
"......Buchs (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6359,2756,43.3,2723,1445,1278,53.1
"......Gams","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1998,985,49.3,971,469,502,48.3
"......Grabs","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4489,2108,47.0,2083,1073,1010,51.5
"......Sennwald","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2988,1353,45.3,1344,694,650,51.6
"......Sevelen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2508,1053,42.0,1051,561,490,53.4
"......Wartau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2995,1402,46.8,1397,749,648,53.6
">> Wahlkreis Sarganserland","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25027,11037,44.1,10941,5274,5667,48.2
"......Bad Ragaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3379,1438,42.6,1423,698,725,49.1
"......Flums","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3017,1180,39.1,1174,488,686,41.6
"......Mels","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5717,2455,42.9,2429,1193,1236,49.1
"......Pfäfers","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1072,545,50.8,542,255,287,47.0
"......Quarten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1853,901,48.6,897,424,473,47.3
"......Sargans","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3490,1557,44.6,1544,797,747,51.6
"......Vilters-Wangs","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2987,1360,45.5,1354,651,703,48.1
"......Walenstadt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3512,1601,45.6,1578,768,810,48.7
">> Wahlkreis See-Gaster","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",42233,18348,43.4,18156,9057,9099,49.9
"......Amden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1282,601,46.9,595,317,278,53.3
"......Benken (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1863,735,39.5,733,366,367,49.9
"......Kaltbrunn","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2797,1063,38.0,1056,527,529,49.9
"......Schänis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2568,1010,39.3,998,505,493,50.6
"......Weesen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1103,507,46.0,503,297,206,59.0
"......Schmerikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2157,901,41.8,894,421,473,47.1
"......Uznach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3435,1456,42.4,1446,733,713,50.7
"......Rapperswil-Jona","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",17809,8080,45.4,7993,4059,3934,50.8
"......Gommiswald","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3426,1502,43.8,1485,687,798,46.3
"......Eschenbach (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5793,2493,43.0,2453,1145,1308,46.7
">> Wahlkreis Toggenburg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",30258,14002,46.3,13830,6621,7209,47.9
"......Ebnat-Kappel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3442,1653,48.0,1634,829,805,50.7
"......Wildhaus-Alt St. Johann","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1835,889,48.4,884,333,551,37.7
"......Nesslau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2707,1216,44.9,1203,541,662,45.0
"......Hemberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",688,319,46.4,313,147,166,47.0
"......Lichtensteig","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1290,528,40.9,523,274,249,52.4
"......Oberhelfenschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",924,442,47.8,436,207,229,47.5
"......Neckertal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2961,1265,42.7,1246,616,630,49.4
"......Wattwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5286,2454,46.4,2427,1299,1128,53.5
"......Kirchberg (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4987,2260,45.3,2233,1030,1203,46.1
"......Lütisburg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",962,477,49.6,475,247,228,52.0
"......Mosnang","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2077,1059,51.0,1040,444,596,42.7
"......Bütschwil-Ganterschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3099,1440,46.5,1416,654,762,46.2
">> Wahlkreis Wil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",45376,20616,45.4,20426,10457,9969,51.2
"......Degersheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2502,1130,45.2,1123,609,514,54.2
"......Flawil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5799,2592,44.7,2567,1347,1220,52.5
"......Jonschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2489,1126,45.2,1116,566,550,50.7
"......Oberuzwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3896,1777,45.6,1755,907,848,51.7
"......Uzwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7487,3225,43.1,3197,1730,1467,54.1
"......Niederbüren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",992,462,46.6,455,216,239,47.5
"......Niederhelfenschwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2005,849,42.3,846,378,468,44.7
"......Oberbüren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2859,1268,44.4,1256,579,677,46.1
"......Zuzwil (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3223,1532,47.5,1514,694,820,45.8
"......Wil (SG)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",14124,6655,47.1,6597,3431,3166,52.0
"......SG-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6615,2297,34.7,2276,1025,1251,45.0
"- Graubünden / Grigioni / Grischun","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",135498,59483,43.9,58644,25022,33622,42.7
">> Region Albula","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5903,2755,46.7,2716,991,1725,36.5
"......Vaz/Obervaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1797,1052,58.5,1033,372,661,36.0
"......Lantsch/Lenz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",399,161,40.4,160,48,112,30.0
"......Schmitten (GR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",201,69,34.3,69,32,37,46.4
"......Albula/Alvra","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1018,421,41.4,416,187,229,45.0
"......Surses","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1806,749,41.5,738,226,512,30.6
"......Bergün Filisur","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",682,303,44.4,300,126,174,42.0
">> Region Bernina","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3728,1619,43.4,1594,645,949,40.5
"......Brusio","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",918,342,37.3,330,126,204,38.2
"......Poschiavo","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2810,1277,45.4,1264,519,745,41.1
">> Region Engiadina Bassa / Val Müstair","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6805,3259,47.9,3214,1316,1898,40.9
"......Zernez","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1118,595,53.2,588,245,343,41.7
"......Samnaun","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",534,193,36.1,191,68,123,35.6
"......Scuol","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3183,1398,43.9,1378,620,758,45.0
"......Valsot","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",707,247,34.9,244,106,138,43.4
"......Val Müstair","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1263,826,65.4,813,277,536,34.1
">> Region Imboden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",12873,5618,43.6,5558,2433,3125,43.8
"......Bonaduz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1995,763,38.2,755,327,428,43.3
"......Domat/Ems","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4777,1881,39.4,1854,819,1035,44.2
"......Rhäzüns","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",862,301,34.9,295,119,176,40.3
"......Felsberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1646,787,47.8,777,302,475,38.9
"......Flims","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1827,1063,58.2,1058,470,588,44.4
"......Tamins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",892,403,45.2,400,178,222,44.5
"......Trin","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",874,420,48.1,419,218,201,52.0
">> Region Landquart","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",16624,6977,42.0,6836,3167,3669,46.3
"......Trimmis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2252,868,38.5,852,359,493,42.1
"......Untervaz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1631,635,38.9,628,299,329,47.6
"......Zizers","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2275,787,34.6,774,345,429,44.6
"......Fläsch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",471,182,38.6,181,76,105,42.0
"......Jenins","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",638,249,39.0,248,115,133,46.4
"......Maienfeld","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1965,816,41.5,796,349,447,43.8
