 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20100903;21.8;0.0;86
WAE;20100904;21.5;0.0;42
WAE;20100905;20.8;0.0;63
WAE;20100906;19.5;0.0;41
WAE;20100907;19.1;0.3;3
WAE;20100908;15.8;6.2;0
WAE;20100909;19.2;0.0;61
WAE;20100910;19.6;0.0;54
WAE;20100911;21.5;0.0;100
WAE;20100912;22.0;0.0;92
WAE;20100913;16.6;0.5;23
WAE;20100914;17.7;0.0;60
WAE;20100915;19.7;0.0;29
WAE;20100916;14.3;0.0;0
WAE;20100917;14.8;0.7;2
WAE;20100918;15.0;0.0;34
WAE;20100919;16.9;0.0;93
WAE;20100920;19.5;0.0;100
WAE;20100921;21.7;0.0;100
WAE;20100922;21.1;0.0;75
WAE;20100923;22.6;0.0;90
WAE;20100924;19.0;7.5;20
WAE;20100925;10.3;50.2;0
WAE;20100926;10.6;0.3;0
WAE;20100927;11.8;0.0;5
WAE;20100928;12.0;0.0;0
WAE;20100929;15.3;0.0;44
WAE;20100930;14.0;0.3;0
WAE;20101001;15.6;0.0;30
WAE;20101002;19.0;0.0;42
WAE;20101003;21.6;0.0;90
WAE;20101004;24.2;0.0;73
WAE;20101005;17.2;2.3;11
WAE;20101006;17.4;0.0;45
WAE;20101007;15.1;0.0;0
WAE;20101008;17.5;0.0;45
WAE;20101009;14.7;0.0;0
WAE;20101010;12.9;0.0;0
WAE;20101011;11.7;0.0;21
WAE;20101012;11.9;0.0;24
WAE;20101013;9.6;0.0;0
WAE;20101014;10.8;0.0;1
WAE;20101015;9.1;0.0;0
WAE;20101016;-;-;0
WAE;20101017;-;-;0
WAE;20101018;-;-;2
WAE;20101019;11.2;0.0;21
WAE;20101020;8.4;5.7;6
WAE;20101021;8.4;0.0;80
WAE;20101022;9.5;0.0;55
WAE;20101023;12.4;0.0;19
WAE;20101024;7.2;5.7;0
WAE;20101025;5.2;1.6;0
WAE;20101026;7.7;0.0;93
WAE;20101027;8.5;0.0;95
WAE;20101028;12.6;0.0;65
WAE;20101029;14.7;0.0;100
WAE;20101030;16.0;0.0;43
WAE;20101031;12.7;0.0;25
WAE;20101101;13.4;0.0;48
WAE;20101102;10.8;0.0;0
WAE;20101103;13.8;0.0;31
WAE;20101104;17.5;0.0;97
WAE;20101105;16.0;0.0;82
WAE;20101106;16.6;0.0;54
WAE;20101107;12.6;10.5;0
WAE;20101108;5.7;1.3;11
WAE;20101109;8.7;0.0;68
WAE;20101110;11.0;1.7;46
WAE;20101111;8.8;0.0;58
WAE;20101112;13.7;18.6;0
WAE;20101113;17.0;0.0;97
WAE;20101114;16.3;0.0;92
WAE;20101115;13.4;1.0;28
WAE;20101116;3.9;5.4;0
WAE;20101117;5.1;0.0;0
WAE;20101118;6.1;0.2;0
WAE;20101119;8.1;0.0;26
WAE;20101120;6.8;0.0;41
WAE;20101121;4.4;0.0;0
WAE;20101122;4.0;3.1;0
WAE;20101123;3.5;1.0;0
WAE;20101124;2.7;1.9;0
WAE;20101125;4.2;0.0;37
WAE;20101126;0.1;0.5;0
WAE;20101127;-1.3;0.0;21
WAE;20101128;1.2;0.0;0
WAE;20101129;1.9;0.1;25
WAE;20101130;-1.4;0.0;41
WAE;20101201;-2.0;2.4;0
WAE;20101202;-1.3;0.0;0
WAE;20101203;-3.0;0.0;0
WAE;20101204;-0.9;0.0;83
WAE;20101205;1.3;0.0;0
WAE;20101206;3.4;6.7;0
WAE;20101207;10.0;0.0;47
WAE;20101208;9.9;0.1;7
WAE;20101209;1.3;0.6;69
WAE;20101210;0.8;0.8;0
WAE;20101211;4.8;0.4;29
WAE;20101212;4.1;0.2;11
WAE;20101213;0.5;0.1;14
WAE;20101214;-3.3;1.4;0
WAE;20101215;-4.5;0.1;0
WAE;20101216;-3.7;0.0;75
WAE;20101217;1.6;6.9;0
WAE;20101218;-2.6;0.0;18
